Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
65881	2.8549e-002	3.4454e-002	4.9027e-002	2.9594e-006
65882	2.8061e-002	3.3961e-002	4.9081e-002	2.7342e-006
65886	2.8867e-002	3.44e-002	4.9008e-002	3.9136e-006
65887	2.8668e-002	3.4117e-002	4.9028e-002	3.8215e-006
65893	2.9318e-002	3.3985e-002	4.8998e-002	5.9521e-006
65898	2.8157e-002	3.359e-002	4.909e-002	3.0944e-006
65899	2.8455e-002	3.3846e-002	4.9054e-002	3.5425e-006
65900	2.8796e-002	3.3784e-002	4.9034e-002	4.3407e-006
65903	2.9139e-002	3.372e-002	4.9018e-002	5.183e-006
65904	2.9438e-002	3.365e-002	4.9008e-002	5.7833e-006
65905	2.8922e-002	3.3458e-002	4.9043e-002	4.4487e-006
65911	2.7853e-002	3.3327e-002	4.9132e-002	2.7052e-006
65912	2.8267e-002	3.3233e-002	4.9102e-002	3.248e-006
65917	2.867e-002	3.3178e-002	4.9076e-002	3.7888e-006
65918	2.9043e-002	3.3131e-002	4.9057e-002	4.2301e-006
65919	2.8422e-002	3.289e-002	4.9115e-002	3.2621e-006
65924	2.824e-002	3.2578e-002	4.9155e-002	2.8695e-006
65925	2.8589e-002	3.258e-002	4.9128e-002	3.1411e-006
65930	2.7696e-002	3.412e-002	4.9109e-002	2.0716e-006
65931	2.7981e-002	3.4318e-002	4.9076e-002	2.2056e-006
65936	2.8429e-002	3.4788e-002	4.903e-002	1.915e-006
65937	2.8253e-002	3.4491e-002	4.9048e-002	2.3299e-006
65938	2.7908e-002	3.466e-002	4.9075e-002	1.5794e-006
65942	2.9054e-002	3.4695e-002	4.8991e-002	3.5834e-006
65943	2.9188e-002	3.4333e-002	4.8992e-002	5.2216e-006
65944	2.9498e-002	3.4258e-002	4.8981e-002	6.7961e-006
65949	2.8924e-002	3.2532e-002	4.9111e-002	3.2934e-006
65950	2.8717e-002	3.227e-002	4.9149e-002	2.889e-006
65954	2.9727e-002	3.3581e-002	4.9002e-002	6.0619e-006
65955	2.9546e-002	3.3332e-002	4.9022e-002	5.158e-006
65959	2.908e-002	3.1837e-002	4.9175e-002	2.4475e-006
65964	2.7564e-002	3.2698e-002	4.9208e-002	2.3483e-006
65973	2.7309e-002	3.4754e-002	4.9136e-002	9.9258e-007
65977	2.8572e-002	3.5092e-002	4.9018e-002	1.1597e-006
65978	2.8299e-002	3.5116e-002	4.9038e-002	9.1416e-007
65987	2.9503e-002	3.1362e-002	4.9215e-002	1.807e-006
65992	2.9356e-002	3.307e-002	4.9046e-002	4.4189e-006
65993	2.9146e-002	3.2802e-002	4.9076e-002	3.8034e-006
65994	2.9255e-002	3.247e-002	4.91e-002	3.3027e-006
65995	2.9672e-002	3.3023e-002	4.9038e-002	4.4004e-006
66003	3.3549e-002	3.2698e-002	4.921e-002	-1.4808e-006
66007	3.3312e-002	3.2004e-002	4.9254e-002	-1.4325e-006
66011	3.3299e-002	3.2874e-002	4.917e-002	-1.464e-006
66012	3.3252e-002	3.2552e-002	4.9193e-002	-1.4651e-006
66016	3.3126e-002	3.2249e-002	4.921e-002	-1.4127e-006
66017	3.3021e-002	3.1957e-002	4.9232e-002	-1.3365e-006
66018	3.2978e-002	3.2499e-002	4.9173e-002	-1.3997e-006
66025	3.142e-002	3.1758e-002	4.9159e-002	9.8008e-008
66030	2.9344e-002	3.2116e-002	4.9131e-002	2.7643e-006
66031	2.9419e-002	3.1726e-002	4.9172e-002	2.2372e-006
66032	2.9779e-002	3.1697e-002	4.9163e-002	2.0039e-006
66033	2.9593e-002	3.241e-002	4.9092e-002	3.1472e-006
66038	3.0143e-002	3.1666e-002	4.916e-002	1.6594e-006
66039	3.0725e-002	3.1907e-002	4.9129e-002	1.1723e-006
66040	3.0045e-002	3.2022e-002	4.912e-002	2.1868e-006
66045	3.0008e-002	3.2997e-002	4.9032e-002	4.112e-006
66046	2.9833e-002	3.2729e-002	4.9057e-002	3.6351e-006
66047	2.9956e-002	3.2403e-002	4.9083e-002	2.872e-006
66048	3.0294e-002	3.2324e-002	4.9086e-002	2.3096e-006
66053	3.0952e-002	3.2165e-002	4.9104e-002	1.0097e-006
66054	3.0629e-002	3.224e-002	4.9093e-002	1.6512e-006
66055	3.0537e-002	3.2576e-002	4.9061e-002	2.2664e-006
66060	3.2516e-002	3.2239e-002	4.9162e-002	-1.1161e-006
66061	3.1984e-002	3.1977e-002	4.9157e-002	-5.845e-007
66065	3.1629e-002	3.2033e-002	4.9135e-002	-1.3762e-007
